,GAC_exp_occ_cadical_11000001,GAC_exp_occ_nbc_11000001,GAC_occ_occ_cadical_11000001,GAC_occ_occ_glucose_11000001,GAC_occ_occ_nbc_11000001,None_exp_occ_cadical_11000001,None_exp_occ_glucose_11000001,None_exp_occ_nbc_11000001,None_occ_occ_cadical_11000001,None_occ_occ_glucose_11000001,None_occ_occ_nbc_11000001,SACBounds_limit_exp_occ_glucose_11000001,SACBounds_limit_exp_occ_glucose_11100001,SACBounds_limit_exp_occ_glucose_11100101,SACBounds_limit_exp_occ_nbc_11000001,SACBounds_limit_exp_occ_nbc_11100001,SACBounds_limit_occ_occ_cadical_11000001,SACBounds_limit_occ_occ_glucose_11000001,SACBounds_limit_occ_occ_glucose_11100001,SACBounds_limit_occ_occ_glucose_11100101,SACBounds_limit_occ_occ_lia_yices2_11000001,SACBounds_limit_occ_occ_nbc_11000001,SACBounds_limit_occ_occ_nbc_11100001,SSACBounds_limit_exp_occ_glucose_11000001,SSACBounds_limit_exp_occ_nbc_11000001,SSACBounds_limit_occ_occ_cadical_11000001,SSACBounds_limit_occ_occ_glucose_11000001,SSACBounds_limit_occ_occ_lia_yices2_11000001,SSACBounds_limit_occ_occ_nbc_11000001
GAC_exp_occ_cadical_11000001,,0.785714286,0.714285714,0,0.714285714,0.857142857,0,0.714285714,0.785714286,0,0.714285714,0,,0.428571429,0.928571429,0.071428571,0.857142857,0,0.142857143,0.142857143,0.142857143,0.785714286,0.142857143,,0.357142857,0.214285714,,,0.285714286
GAC_exp_occ_nbc_11000001,,,,0.113636364,0.863636364,,,,,0.136363636,0.840909091,,,,0.840909091,,,0.159090909,,,,0.795454545,0.25,,,,,,
GAC_occ_occ_cadical_11000001,,0.636363636,,0.090909091,0.818181818,,0.045454545,0.409090909,0.909090909,0.090909091,0.818181818,0,,0.318181818,0.772727273,0.090909091,0.909090909,0.090909091,0.181818182,,0.363636364,0.863636364,0.181818182,,,,,,0.363636364
GAC_occ_occ_glucose_11000001,,,,,0.25862069,,,,,0.931034483,0.224137931,,,,,,,0.844827586,,,,0.310344828,0.086206897,,,,,,
GAC_occ_occ_nbc_11000001,,,,,,,,,,,,,,,,,,,,,,0.797468354,,,,,,,
None_exp_occ_cadical_11000001,0.857142857,0.857142857,0.714285714,0,0.571428571,,0,0.714285714,0.785714286,0,0.785714286,0,,0.357142857,0.928571429,0,0.857142857,0,0.142857143,0.142857143,0.142857143,0.714285714,0.142857143,,0.428571429,0.285714286,,,0.357142857
None_exp_occ_glucose_11000001,,0.12,,0.92,0.24,,,0.16,0.04,0.96,0.2,0.64,,0.04,0.16,0.04,0.04,0.88,0.08,,,0.16,0.04,,,,,,0.08
None_exp_occ_nbc_11000001,,0.828571429,,0.171428571,0.8,,,,,0.2,0.885714286,,,0.142857143,0.828571429,,0.314285714,0.2,0.085714286,,,0.657142857,0.114285714,,,,,,
None_occ_occ_cadical_11000001,,0.5,,0.038461538,0.653846154,,,0.346153846,,0.038461538,0.692307692,0,,0.384615385,0.653846154,0.153846154,0.846153846,0.038461538,0.153846154,,,0.807692308,0.153846154,,,,,,0.461538462
None_occ_occ_glucose_11000001,,,,,0.237288136,,,,,,0.220338983,,,,,,,0.881355932,,,,0.322033898,0.084745763,,,,,,
None_occ_occ_nbc_11000001,,,,,0.835820896,,,,,,,,,,,,,0.253731343,,,,0.776119403,,,,,,,
SACBounds_limit_exp_occ_glucose_11000001,,0.117647059,,0.823529412,0.205882353,,,0.117647059,,0.852941176,0.147058824,,,0.029411765,0.176470588,,0.029411765,0.970588235,0.176470588,,,0.264705882,0.058823529,,,,,,
SACBounds_limit_exp_occ_glucose_11100001,0,0.090909091,0.181818182,0.272727273,0.454545455,0,0.181818182,0.090909091,0.272727273,0.272727273,0.363636364,0.090909091,,0.454545455,0.181818182,0.909090909,0.363636364,0.181818182,0,0,0.363636364,0.636363636,0,,0,0.272727273,,,0.272727273
SACBounds_limit_exp_occ_glucose_11100101,,0.162162162,,0.108108108,0.351351351,,,,,0.081081081,0.324324324,,,,0.243243243,,0.297297297,0.081081081,0,,,0.405405405,0,,,,,,
SACBounds_limit_exp_occ_nbc_11000001,,,,0.156862745,0.803921569,,,,,0.156862745,0.764705882,,,,,,,0.215686275,,,,0.803921569,0.254901961,,,,,,
SACBounds_limit_exp_occ_nbc_11100001,,0.25,,0.071428571,0.428571429,,,0.178571429,,0.071428571,0.357142857,0,,0.214285714,0.25,,0.178571429,0.035714286,0,,,0.464285714,0,,,,,,0.142857143
SACBounds_limit_occ_occ_cadical_11000001,,0.394736842,,0.078947368,0.631578947,,,,,0.052631579,0.631578947,,,,0.552631579,,,0.078947368,0.105263158,,,0.842105263,0.105263158,,,,,,
SACBounds_limit_occ_occ_glucose_11000001,,,,,0.263888889,,,,,,,,,,,,,,,,,0.375,,,,,,,
SACBounds_limit_occ_occ_glucose_11100001,,0.170731707,,0.219512195,0.292682927,,,,,0.243902439,0.243902439,,,,0.170731707,,,0.341463415,,,,0.292682927,0.780487805,,,,,,
SACBounds_limit_occ_occ_glucose_11100101,0.142857143,0.285714286,0.285714286,0.142857143,0.285714286,0.142857143,0.071428571,0.142857143,0.285714286,0.214285714,0.285714286,0.142857143,,0,0.285714286,0,0.285714286,0.285714286,0.785714286,,0.285714286,0.285714286,0.642857143,,0.142857143,0.285714286,,,0.285714286
SACBounds_limit_occ_occ_lia_yices2_11000001,,0.173913043,,0.173913043,0.391304348,,0.043478261,0.086956522,0.347826087,0.217391304,0.391304348,0,,0.173913043,0.217391304,0.173913043,0.565217391,0.304347826,0.217391304,,,0.826086957,0.217391304,,,,,,0.391304348
SACBounds_limit_occ_occ_nbc_11000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACBounds_limit_occ_occ_nbc_11100001,,,,,0.433333333,,,,,,0.316666667,,,,,,,0.15,,,,0.366666667,,,,,,,
SSACBounds_limit_exp_occ_glucose_11000001,0,0.285714286,0,0.857142857,0.428571429,0,0.571428571,0.428571429,0,0.857142857,0.285714286,0.857142857,0,0,0.142857143,0,0,0.857142857,0,0,0,0.142857143,0,,0,0,0.428571429,0,0.142857143
SSACBounds_limit_exp_occ_nbc_11000001,0.357142857,0.642857143,0.357142857,0.071428571,0.571428571,0.428571429,0.071428571,0.571428571,0.428571429,0.071428571,0.857142857,0,,0,0.714285714,0.071428571,0.428571429,0,0.142857143,0.142857143,0.142857143,0.714285714,0.214285714,,,0.285714286,,,0.714285714
SSACBounds_limit_occ_occ_cadical_11000001,,0.333333333,0.444444444,0.055555556,0.611111111,,0.055555556,0.166666667,0.555555556,0.055555556,0.5,0,,0.222222222,0.388888889,0.222222222,0.666666667,0.055555556,0.277777778,,0.5,0.777777778,0.277777778,,,,,,0.944444444
SSACBounds_limit_occ_occ_glucose_11000001,0,0.285714286,0.142857143,0.571428571,0.571428571,0,0.714285714,0.285714286,0.142857143,0.714285714,0.428571429,0.428571429,0.142857143,0.142857143,0.428571429,0.142857143,0.142857143,0.571428571,0,0,0.142857143,0.428571429,0.142857143,0.428571429,0.285714286,0.142857143,,0.142857143,0.428571429
SSACBounds_limit_occ_occ_lia_yices2_11000001,0.222222222,0.444444444,0.555555556,0.111111111,0.666666667,0.222222222,0.111111111,0.222222222,0.666666667,0.111111111,0.666666667,0,0.222222222,0.333333333,0.555555556,0.222222222,0.888888889,0.111111111,0.444444444,0.444444444,0.888888889,0.888888889,0.444444444,,0.222222222,0.777777778,,,0.777777778
SSACBounds_limit_occ_occ_nbc_11000001,,0.393939394,,0.090909091,0.606060606,,,0.242424242,,0.090909091,0.575757576,0.060606061,,0.121212121,0.484848485,,0.454545455,0.060606061,0.181818182,,,0.787878788,0.242424242,,,,,,
